,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Verkehrswende,Verkehrswende,LOC,-0.30434783,0.00000000,de,4.60000000,,0.00000000,,,,,,
Stadt,Stadt,LOC,-0.21739130,0.00000000,de,4.60000000,,2950159.00000000,P,52.52437000,13.41053000,EUROPE,Deutschland,WCE
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,-0.30434783,0.00000000,de,4.60000000,,2872567.00000000,A,53.83333000,12.50000000,EUROPE,Deutschland,WCE
München,München,LOC,-0.05434783,0.05434783,de,4.60000000,,2867714.00000000,P,48.13743000,11.57549000,EUROPE,Deutschland,WCE
Stromnetze,Stromnetze,LOC,0.15217391,0.00000000,de,4.60000000,,0.00000000,,,,,,
Rostock,Rostock,LOC,0.00000000,0.00000000,de,4.60000000,,0.00000000,,,,,,
Italien,Italien,LOC,-0.28378378,0.13513514,de,3.70000000,,3175395.00000000,A,42.83333000,12.83333000,EUROPE-AFRICA,Italien,MED
Bund,Bund,LOC,0.18918919,0.27027027,de,3.70000000,,10519668.00000000,L,20.49241000,79.45535000,ASIA,Indien,SAS
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.32432432,0.13513514,de,3.70000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
Windräder,Windräder,LOC,0.00000000,0.27027027,de,3.70000000,,0.00000000,,,,,,
Brasilien,Brasilien,LOC,0.13513514,0.13513514,de,3.70000000,,3469034.00000000,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brasilien,SAM
Hamm,Hamm,LOC,-0.01351351,0.40540541,de,3.70000000,4023168-9,-1.00000000,,,,EUROPE,Germany,WCE
Leipzig,Leipzig,LOC,-0.18918919,0.00000000,de,3.70000000,,2879139.00000000,P,51.33962000,12.37129000,EUROPE,Deutschland,WCE
Potsdam,Potsdam,LOC,-0.18918919,0.00000000,de,3.70000000,,2852458.00000000,P,52.39886000,13.06566000,EUROPE,Deutschland,WCE
Hitze,Hitze,LOC,-0.17567568,0.13513514,de,3.70000000,,2903464.00000000,S,50.36667000,12.00000000,EUROPE,Deutschland,WCE
Schweiz,Schweiz,LOC,0.00000000,0.27027027,de,3.70000000,,2658434.00000000,A,47.00016000,8.01427000,EUROPE,Schweiz,WCE
USA,USA,LOC,0.00000000,0.27027027,de,3.70000000,,6255150.00000000,L,-14.60485000,-57.65625000,SOUTH-AMERICA,,SAM
Klimawandel,Klimawandel,LOC,0.37837838,0.00000000,de,3.70000000,,0.00000000,,,,,,
Wien,Wien,LOC,0.12962963,0.37037037,de,3.60000000,,2761369.00000000,P,48.20849000,16.37208000,EUROPE,Österreich,WCE
Klimaschützer,Klimaschützer,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Förderstedt,Förderstedt,LOC,0.25000000,0.00000000,de,2.80000000,1081798629,-1.00000000,,,,EUROPE,Germany,WCE
Chemnitz,Chemnitz,LOC,0.00000000,0.35714286,de,2.80000000,,2940132.00000000,P,50.83570000,12.92922000,EUROPE,Deutschland,WCE
Halle,Halle,LOC,0.00000000,0.35714286,de,2.80000000,,2911522.00000000,P,51.48158000,11.97947000,EUROPE,Deutschland,WCE
Rhein-Main-Gebiet,Rhein-Main-Gebiet,LOC,-0.06250000,0.17857143,de,2.80000000,,2847616.00000000,L,50.00000000,8.66667000,EUROPE,Deutschland,WCE
Leuna,Leuna,LOC,0.50000000,0.00000000,de,2.80000000,4099566-5,-1.00000000,,,,EUROPE,Germany,WCE
NRW,NRW,LOC,0.00000000,0.00000000,de,2.80000000,,2886242.00000000,P,50.93333000,6.95000000,EUROPE,Deutschland,WCE
US-Regierung,US-Regierung,LOC,-0.50000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Wassermangel,Wassermangel,LOC,-0.35714286,0.71428571,de,2.80000000,,-1.00000000,,,,EUROPE,Germany,WCE
Spanien,Spanien,LOC,0.50000000,0.35714286,de,2.80000000,,2510769.00000000,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spanien,MED
Milliardenhöhe,Milliardenhöhe,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Hessen,Hessen,LOC,0.00000000,0.00000000,de,2.80000000,,2905330.00000000,A,50.55000000,9.00000000,EUROPE,Deutschland,WCE
Schottland,Schottland,LOC,0.00000000,0.00000000,de,2.80000000,4021159-9,2648579.00000000,P,55.86515000,-4.25763000,EUROPE,United Kingdom,NEU
Worms,Worms,LOC,0.00000000,0.00000000,de,2.80000000,4066942-7,-1.00000000,,,,EUROPE,Germany,WCE
Aralsee,Aralsee,LOC,0.00000000,0.17857143,de,2.80000000,4094809-2,-1.00000000,,,,EUROPE,Uzbekistan,EEU
Brandenburg,Brandenburg,LOC,0.00000000,0.00000000,de,2.80000000,,2945356.00000000,A,52.45905000,13.01582000,EUROPE,Deutschland,WCE
Baden-Württemberg,Baden-Württemberg,LOC,0.00000000,0.00000000,de,2.80000000,,2953481.00000000,A,48.50000000,9.00000000,EUROPE,Deutschland,WCE
Norderney,Norderney,LOC,0.00000000,0.00000000,de,2.80000000,,2862042.00000000,T,53.71417000,7.24150000,EUROPE,Deutschland,NEU
US-Präsident,US-Präsident,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Liebig Centre,Liebig Centre,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Ostsee,Ostsee,LOC,0.35714286,0.00000000,de,2.80000000,,2919765.00000000,P,54.83503000,9.55218000,EUROPE,Deutschland,NEU
Temperaturen,Temperaturen,LOC,-0.35714286,0.00000000,de,2.80000000,,0.00000000,,,,,,
zweitwärmste,zweitwärmste,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Ruhrgebiet,Ruhrgebiet,LOC,-0.52631579,0.00000000,de,1.90000000,4050926-6,2843198.00000000,L,51.41667000,7.00000000,EUROPE,Germany,WCE
in­nen,in­nen,LOC,-0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Rhein,Rhein,LOC,0.00000000,0.00000000,de,1.90000000,,12077024.00000000,L,49.31885000,8.77012000,EUROPE,Deutschland,WCE
Linz,Linz,LOC,0.00000000,0.00000000,de,1.90000000,4074255-6,-1.00000000,,,,EUROPE,Austria,WCE
Polens,Polens,LOC,0.36842105,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Poland,WCE
Starkregen,Starkregen,LOC,-1.05263158,0.00000000,de,1.90000000,,0.00000000,,,,,,
Stuttgart,Stuttgart,LOC,0.00000000,0.00000000,de,1.90000000,,2825297.00000000,P,48.78232000,9.17702000,EUROPE,Deutschland,WCE
Endkunden,Endkunden,LOC,-1.05263158,0.00000000,de,1.90000000,,0.00000000,,,,,,
Thailand,Thailand,LOC,-0.36842105,0.00000000,de,1.90000000,4078228-1,1605651.00000000,A,15.50000000,101.00000000,ASIA,Thailand,SEA
Vietnam,Vietnam,LOC,-0.36842105,0.00000000,de,1.90000000,4063514-4,-1.00000000,,,,ASIA,Vietnam,SEA
Grönlands,Grönlands,LOC,-0.15789474,0.00000000,de,1.90000000,,0.00000000,,,,,,
Hitzefrei-Tage,Hitzefrei-Tage,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Küste,Küste,LOC,0.00000000,0.00000000,de,1.90000000,,2287781.00000000,A,8.00000000,-5.50000000,AFRICA,Elfenbeinküste,WAF
TIANJIN,TIANJIN,LOC,0.00000000,0.00000000,de,1.90000000,4198006-2,-1.00000000,,,,ASIA,China,EAS
B,B,LOC,0.00000000,0.00000000,de,1.90000000,,3577757.00000000,S,18.44483000,-64.54297000,CENTRAL-AMERICA,British Virgin Islands,CAR
Solaranlagen,Solaranlagen,LOC,0.00000000,0.52631579,de,1.90000000,,0.00000000,,,,,,
Kirschsaison,Kirschsaison,LOC,0.52631579,0.00000000,de,1.90000000,,0.00000000,,,,,,
unterdurchsch…,unterdurchsch…,LOC,0.73684211,0.00000000,de,1.90000000,,0.00000000,,,,,,
Strompreis,Strompreis,LOC,-0.07894737,0.00000000,de,1.90000000,,0.00000000,,,,,,
Ankara,Ankara,LOC,0.89473684,0.00000000,de,1.90000000,4002075-7,-1.00000000,,,,EUROPE-AFRICA,Turkey,MED
Serbiens,Serbiens,LOC,0.00000000,1.05263158,de,1.90000000,,0.00000000,,,,,,
Südfrankreich,Südfrankreich,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Wärmebereich,Wärmebereich,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
